Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
19/07/2018,"47 CRUACHAN, KNOCKATEEMORE, DUNGARVAN",Waterford,,"€141,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.08806,-7.62528
28/09/2018,"13 THE PLAZA, BALLYMUN, DUBLIN 11",Dublin,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/08/2018,"49 the close, drumin village, nenagh",Tipperary,,"€199,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,52.47333,-8.15583
29/06/2018,"RYEFIELD, VIRGINIA, CAVAN",Cavan,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.83389,-7.07556
25/10/2018,"12 ADDISON RD, FAIRVIEW, DUBLIN 3",Dublin,,"€55,556.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.3621149,-6.2387974
23/05/2018,"111 LAKE DR, KILMINCHY, PORTLAOISE",Laois,,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
21/09/2018,"10 CARRAIG ABHAINN, BALLISODARE, CO SLIGO",Sligo,,"€149,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.206627,-8.5077724
14/12/2018,"10 Mill Gate, Millerstown, Kilcock",Meath,,"€286,343.61",No,Yes,New Dwelling house /Apartment,,53.66667,-6.66667
17/07/2018,"13 Peyton Avenue, Peyton, Rathcoole",Dublin,,"€431,718.06",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.2777539,-6.4682414
14/12/2018,"23 CASTLELOST VALE, ROCHFORTBRIDGE, MULLINGAR",Westmeath,,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
14/06/2018,"36 Parkside Crescent, Malahide Road, Balgriffin",Dublin,,"€315,132.75",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
17/12/2018,"8 ST FINIANS TERRACE, NAVAN, MEATH",Meath,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6498954,-6.6843858
01/10/2018,"19 THE LAWN, JANEVILLE, CORK ROAD",Cork,,"€290,748.89",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,51.89797,-8.47061
24/10/2018,"12 WOODALE RD, CLIFFLANDS, RUSH",Dublin,,"€342,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/03/2018,"39A RACECOURSE LAWN, TRALEE, KERRY",Kerry,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2797761,-9.6820874
25/07/2018,"8 OCEAN POINT, COURTOWN HARBOUR, GOREY",Wexford,,"€166,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.67472,-6.2925
07/06/2018,"36 PEARSE PARK, DROGHEDA, LOUTH",Louth,,"€176,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.7205956,-6.346687
31/10/2018,"3 GRIGGY, MONAGHAN",Monaghan,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.2813606,-6.9541821
21/12/2018,"HARBOUR MILL, WESTPORT, CO MAYO",Mayo,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7999419,-9.5484463
08/02/2018,"GALWAY ROAD, ROSCOMMON",Galway,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
20/03/2018,"25 HAZEL GROVE, CLONBALT WOODS, LONGFORD",Longford,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,,,
22/06/2018,"KNOCKANURE, BUNCLODY, CO WEXFORD",Wexford,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6553,-6.65359
07/12/2018,"14 THE PADDOCK, OLDTOWN MILL, CELBRIDGE",Kildare,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3484031,-6.5536273
31/08/2018,"DRUMINSHIN, DRUMCONRATH, NAVAN",Meath,,"€100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
22/01/2018,"27 GROVE COURT, GROVE RD, BLANCHARDSTOWN",Dublin,,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
