Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
25/08/2022,"RATHVILLA, EDENDERRY, OFFALY",Offaly,R45ET66,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.296667,-7.146111
14/07/2022,"45 MILLBRIDGE WAY, NAAS, KILDARE",Kildare,W91KV9W,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2243239,-6.665761
29/04/2022,"405 ASHBROOK, TOM BELLEW AVE, DUNDALK",Louth,,"€202,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.0,-6.41667
06/04/2022,"APT 1, 82 MANOR ST, WATERFORD",Waterford,X91FF66,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2568769,-7.1119396
22/07/2022,"140 CHARLESLAND PARK, GREYSTONES, WICKLOW",Wicklow,A63F437,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1266689,-6.0693037
10/06/2022,"1-37 Southgate Hall, Kilcarbery Grange, Clondalkin",Dublin,,"€9,290,748.90",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
15/06/2022,"STRALEEL NORTH, CARRICK, DONEGAL",Donegal,F94WV07,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.6575,-8.63167
28/07/2022,"CORLATT, MULLAGH, CAVAN",Cavan,A82K767,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.81306,-6.95139
20/06/2022,"GORTANORAN, REDCLIFF, INCH",Kerry,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.14972,-9.96806
15/06/2022,"11 CHORD ROAD, DROGHEDA, CO LOUTH",Louth,A92D6CH,"€164,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
20/12/2022,"31 THE AVENUE, LAKEPOINT PARK, MULLINGAR",Westmeath,N91E3C1,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
14/12/2022,"KENTVILLE, UPPER MILL RD, MIDLETON",Cork,P25DT72,"€254,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91526,-8.18052
03/05/2022,"12E BELFIELD COURT, STILLORGAN RD, DUBLIN",Dublin,D04YW94,"€132,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/06/2022,"3 BELMONT HALL, MIDDLE GARDINER ST, DUBLIN 1",Dublin,D01VE27,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
