Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
24/08/2018,"6 KENNEDY TERRACE, CARRICK BEG, CARRICK ON SUIR",Tipperary,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
16/07/2018,"26 CROMLECH FIELDS, BALLYBRACK, KILLINEY",Dublin,,"€307,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.2445177,-6.1245733
19/06/2018,"AGLISH, GLENCAIRN, CO. WATERFORD",Waterford,,"€96,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
18/10/2018,"12 chuirt naomh mhuire, louth village",Louth,,"€195,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.94861,-6.54139
13/04/2018,"26 RAPHOE RD, CRUMLIN, DUBLIN 12",Dublin,,"€19,374.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.3263479,-6.3103387
28/02/2018,"BALLINREE, EDGEWORTHSTOWN, CO LONGFORD",Longford,,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7,-7.61667
03/10/2018,"12 castlewellan park, aghards road, celbridge",Kildare,,"€347,972.73",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,53.33861,-6.54361
03/12/2018,"10  COURTYARD, MULRANNY, COUNTY MAYO",Mayo,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.75977,-9.11719
12/12/2018,"Apartment 4 Westfield, Bloomfield House, Bloomfield Avenue",Dublin,,"€1,277,533.04",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
17/08/2018,"16 OBRIEN RD, WALKINSTOWN, DUBLIN 12",Dublin,,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/12/2018,"16 Orwell Hall, Marianella, Rathgar",Dublin,,"€484,582.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
16/02/2018,"APT 22, EAST COURTYARD, TULLYVALE CABINTEELY DUBLIN 18",Dublin,,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2472065,-6.1453481
04/04/2018,"3 LAKE DRIVE, IVOWEN KILSHEELAN, CLONMEL",Tipperary,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
14/07/2018,"4 THE MEWS, MITCHEL ST, DUNGARVAN",Waterford,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.08806,-7.62528
21/11/2018,"42meadowveiw, creggaun na hilla, clarecastle",Clare,,"€188,546.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.81556,-8.96667
12/09/2018,"KILBEREHERT, CASTLEISLAND, CO. KERRY",Kerry,,"€12,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.23333,-9.46667
15/01/2018,"11 MEADOWBROOK CLOSE, MAYNOOTH, KILDARE",Kildare,,"€309,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3743075,-6.5979362
18/06/2018,"APT 21 THE NEWMAN, KILLINEY COURT APTS, STATION RD",Dublin,,"€840,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/04/2018,"AVILA, MOATE, CO WESTMEATH",Westmeath,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.39389,-7.71722
30/05/2018,"137 CARRIG COURT, FORTUNESTOWN LANE, CITYWEST DUBLIN 24",Dublin,,"€208,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/09/2018,"ENNISCOFFEY, GAYBROOK, MULLINGAR",Westmeath,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
18/05/2018,"93 COOLGREENA RD, BEAUMONT, DUBLIN 9",Dublin,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3875532,-6.2316492
12/10/2018,"BALLINADRIMNA, BROADFORD, KILDARE",Kildare,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
