Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
08/05/2024,"34 Sruth Na Ghleanna, Killeshin, Carlow",Laois,,"€312,276.00",No,Yes,New Dwelling house /Apartment,,53.0,-7.4
04/10/2024,"7 GLASMORE PARK, SWORDS, DUBLIN",Dublin,K67VH32,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4599929,-6.2346259
10/10/2024,"62F Ryecourt Woods, Cloughduv, Co Cork",Cork,,"€422,908.00",No,No,New Dwelling house /Apartment,,51.89797,-8.47061
01/10/2024,"147 OWENS AVE, CEANNT FORT, KILMAINHAM DUBLIN 8",Dublin,D08FE8D,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
02/05/2024,"MOUNTAIN ROAD, KYLEBROGHLAN, MOYCULLEN",Galway,H91R6NK,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33783,-9.18002
27/08/2024,"DANES COURT, ROCKFORT AVE, DALKEY",Dublin,A96YH36,"€1,495,250.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
05/09/2024,"61 RATH DUBH, SWINFORD, CO MAYO",Mayo,F12A302,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.95,-8.95
29/07/2024,"24 HILLVIEW EST, DUNSHAUGHLIN, MEATH",Meath,A85FW67,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5168261,-6.5415408
09/08/2024,"ST BRENDANS, GREYACRE RD, DUNDALK",Louth,A91HP89,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0,-6.41667
17/09/2024,"120 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3",Dublin,D03X382,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
17/05/2024,"9 ASHBROOK, CASTLELAKE, CARRIGTWOHILL",Cork,T45P297,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.90833,-8.26333
12/11/2024,"TINCURRY, BALLYCARNEY, ENNISCORTHY",Wexford,Y21T6D2,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.5703257,-6.5540656
29/05/2024,"46 BELFIELD ABBEY, BOREENMANNA ROAD, CORK CITY",Cork,T12PC8P,"€655,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
31/10/2024,"TISAXON MORE, KINSALE, CORK",Cork,P17EV91,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7065956,-8.5671923
12/12/2024,"1 THE LAURELS, CASTLEPARK, MALLOW",Cork,P51F60P,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.13333,-8.63333
21/06/2024,"14 BRICKFIELD DRIVE, HONEYPARK, DUNLAOGHAIRE",Dublin,A96WW39,"€1,130,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
11/10/2024,"49 ST. CATHERINES GRANGE, JOHN'S HILL, WATERFORD",Waterford,X91A3C2,"€152,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
02/02/2024,"17 SALLYNOGGIN RD UPPER, SALLYNOGGIN, DUN LAOGHAIRE",Dublin,A96V5R2,"€511,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.283301,-6.1446167
27/03/2024,"41 COWPER VILLAGE, RATHMINES, DUBLIN 6",Dublin,D06A9R9,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3168504,-6.2631794
30/07/2024,"THE PADDOCK, CATHOLIC WALK, KINSALE",Cork,P17YW26,"€1,125,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7075,-8.53056
15/01/2024,"42 CUSHING ROAD, FARRANREE, CORK",Cork,T23V2F2,"€221,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
16/07/2024,"41 MERRION COURT, MONTENOTTE, CORK",Cork,T23H6VW,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.9069445,-8.4498146
04/11/2024,"DARDISTOWN, JULIANSTOWN, MEATH",Meath,A92CF99,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6641852,-6.3067841
25/04/2024,"9 RATHBORNE SQUARE, RATHBORNE, ASHTOWN",Dublin,D15KRF1,"€608,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.377484,-6.3200406
25/10/2024,"67 CLUAIN CAISLEANN, FERNS, ENNISCORTHY",Wexford,Y21P662,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.50083,-6.55778
15/02/2024,"25 PARNELL ST, WEXFORD",Wexford,Y35K2R4,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3343202,-6.4570939
29/08/2024,"28 GLEN RICHARDS WOOD, POULSHONE, WEXFORD",Wexford,Y25PY83,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.33417,-6.4575
20/02/2024,"29 NEWBERRY, CASTLEMARTIN LODGE, KILCULLEN",Kildare,R56KF21,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.13028,-6.74444
01/10/2024,"57 RATH DUBH, SWINFORD, CO MAYO",Mayo,F12A892,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.95,-8.95
15/11/2024,"APT 5, 3 RAILWAY RD, BEAUPARK DUBLIN 13",Dublin,D13TW99,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/02/2024,"83 PARKLANDS NORTHWOOD, DUBLIN 9, SANTRY",Dublin,D09WY68,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/04/2024,"70 OAK HILL, YOUGHAL, CORK",Cork,P36TV00,"€287,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.95,-7.85056
05/07/2024,"94 Crann Darach, Meadowlands, Masseytown",Cork,,"€307,488.00",No,Yes,New Dwelling house /Apartment,,51.89797,-8.47061
29/10/2024,"7 WHITETHORN GROVE, KNOCKBROGAN, BANDON",Cork,P72KP22,"€290,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,51.74694,-8.7425
18/12/2024,"37 CORAL, THE GRANGE, BLACKROCK",Dublin,A94E728,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
06/12/2024,"25 Harbour View, Coulter Place, Dundalk",Louth,,"€303,965.00",No,Yes,New Dwelling house /Apartment,,54.0,-6.41667
29/07/2024,"29 RIVERGATE, CREYWELL ROAD, CO WEXFORD",Wexford,Y34EY66,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.33417,-6.4575
19/12/2024,"11 NEWMANS MILL, ATHBOY, MEATH",Meath,C15D295,"€227,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.62327,-6.91434
08/08/2024,"1 FRIARY DOWNS, KILLARNEY, CO. KERRY",Kerry,V93N8R6,"€300,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.0611218,-9.5003338
16/08/2024,"19 Dun an Ri, Coosan Road, Athlone",Westmeath,,"€281,938.00",No,Yes,New Dwelling house /Apartment,,53.43333,-7.95
06/06/2024,"PAINSTOWN, DUNSHAUGHLIN, CO MEATH",Meath,A85RK35,"€870,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5125,-6.54
18/11/2024,"37 RATHCURRAGH, GREEN RD, NEWBRIDGE",Kildare,W12D521,"€322,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
07/11/2024,"CORMONGAN, DRUMCHANBO, LEITRIM",Leitrim,N41XF43,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.99083,-8.06361
31/10/2024,"139 CASTLECURRAGH VALE, MULHUDDART, DUBLIN 15",Dublin,D15P7K3,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4032579,-6.3873743
13/11/2024,"28 CHESTNUT AVE, ESKER HILLS, PORTLAOISE",Laois,R32D2TR,"€184,504.00",No,No,Second-Hand Dwelling house /Apartment,,53.0429622,-7.2963452
01/05/2024,"KILKENNY WEST, THE PIGEONS, ATHLONE",Westmeath,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.43333,-7.95
28/08/2024,"12 SIMMONSTOWN MANOR, CELBRIDGE, CO KILDARE",Kildare,W23W884,"€575,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.3337358,-6.5411583
23/08/2024,"APARTMENT 15, TRAMYARD EXCHANGE, DUBLIN 8",Dublin,D08NPH4,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
17/09/2024,"9 CARRIGEENLEA, CLIFF RD, TRAMORE",Waterford,X91F2C6,"€905,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.16235,-7.15244
20/12/2024,"7 LACKEN RISE, TULLLOW RD, CARLOW",Carlow,R93R2T4,"€353,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
28/03/2024,"8 BROAD ST, CHARLEVILLE, CORK",Cork,P56HX45,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3550431,-8.6819115
14/10/2024,"50 ANNALY ROAD, CABRA, DUBLIN 7",Dublin,D07V2A4,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.363243,-6.2835101
19/04/2024,"51 PARK VIEW, SWORDS MANOR, SWORDS",Dublin,K67FY28,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
15/08/2024,"CHURCH ROAD, THE HILL, MALAHIDE",Dublin,,"€760,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
25/01/2024,"33 BARRYS AVE, TARMONBARRY, ROSCOMMON",Roscommon,N39Y440,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7451022,-7.9253777
12/07/2024,"7 LEE ESTATE, ST MARY'S PARK, LIMERICK",Limerick,V94FW9E,"€234,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
07/08/2024,"91 Cois Farraige, Blackrock, Dundalk",Louth,,"€339,207.05",No,Yes,New Dwelling house /Apartment,,53.9677297,-6.3761989
13/11/2024,"327 COWPER DOWNS, RATHMINES, DUBLIN 6",Dublin,D06E127,"€323,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3159333,-6.262471
20/05/2024,"61 KILTALOWN RD, TALLAGHT, DUBLIN 24",Dublin,D24R6T8,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2771996,-6.4041608
29/01/2024,"22 WOODLANDS, RATOATH, MEATH",Meath,A85VW56,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5075969,-6.4716147
19/12/2024,"BRIDGE STREET, KILBEGGAN, WESTMEATH",Westmeath,N91YP92,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.36944,-7.50333
18/12/2024,"1 GLAUNSHAROON, EGLINTON RD, DONNYBROOK DUBLIN 4",Dublin,D04R861,"€850,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/11/2024,"CARRAWARD WEST, DROMCOLLOGHER, LIMERICK",Limerick,P56TD35,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
24/04/2024,"10 LARKFIELD GARDENS, HAROLDS CROSS, D6WFC03",Dublin,D6WFC03,"€200,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
