Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
20/12/2024,"SKEHEENARINKY, BURNCOURT, COUNTY TIPPERARY",Tipperary,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.3139966,-8.1294303
06/12/2024,"1 Orchard Crescent, Green Hill, Clonhasten",Wexford,,"€334,801.77",No,Yes,New Dwelling house /Apartment,,52.5,-6.66667
04/07/2024,"35 OFFINGTON PARK, SUTTON, DUBLIN 13",Dublin,D13V8Y4,"€1,148,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3868429,-6.0983468
23/08/2024,"36 COILL TIRE, DOUGHISKA, GALWAY",Galway,H91XDP1,"€406,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2799639,-8.9851914
11/01/2024,"BALLYDAW, MARSHALSTOWN, ENNISCORTHY",Wexford,Y21TH61,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.5453194,-6.6166178
06/12/2024,"14 OCEAN DR, COAST RD, ORANMORE",Galway,H91T6V6,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.26833,-8.92
29/02/2024,"36 PEARSE PARK, DROGHEDA, LOUTH",Louth,A92A3PK,"€247,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.7205956,-6.346687
07/02/2024,"7 Helms Point, Church Bay Road, Crosshaven",Cork,,"€348,017.00",No,Yes,New Dwelling house /Apartment,,51.79833,-8.30083
18/09/2024,"43 Mariners Avenue, Rush, County Dublin",Dublin,,"€458,149.77",No,Yes,New Dwelling house /Apartment,,53.38046,-6.27113
26/02/2024,"113 RICHMOND RD, DRUMCONDRA, DUBLIN 3",Dublin,D03HD35,"€660,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3660374,-6.2483639
28/02/2024,"28 WATERVILLE HALL, WATERVILLE TERRACE, WATERVILLE DUBLIN 15",Dublin,D15HH6E,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
03/09/2024,"ST PATRICKS MISSIONARY SOCIETY, 11 DOUGLAS ROAD, CORK",Cork,T12X5T1,"€1,072,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
17/10/2024,"ARDOUGHTER, BALLYDUFF, TRALEE",Kerry,,"€63,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
29/05/2024,"8 OAKWOOD RETIREMENT VILLAGE, ARDSALLAGH MORE, ATHLONE RD",Roscommon,F42CK74,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
05/12/2024,"56 CASTLE MEADOWS, SKEHARD RD, BLACKROCK",Cork,T12W3FC,"€225,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,51.89694,-8.41
13/09/2024,"RATHFEIGH, TARA, MEATH",Meath,,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.66667,-6.66667
07/06/2024,"39 BELFIELD DOWNS, BELFIELD, GOATSTOWN",Dublin,D14YY70,"€757,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2964174,-6.2336676
20/05/2024,"57 Castletown Manor, Athboy",Meath,,"€314,317.18",No,Yes,New Dwelling house /Apartment,,53.6159974,-6.9278282
15/07/2024,"152 ROSEMOUNT, THURLES, TIPPERARY",Tipperary,E41P6Y7,"€328,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6675607,-7.8112972
